,030201,030203,030204,030205,030206,030207,030208,030209,030211,030213,日期,班次,周次,星期,已使用班组
2025-10-17;早班;3,"[('MT0010010082', 'pack01', 34000, 34000, 0), ('MT0010010082', 'pack02', 34000, 34000, 0)]","[('MT0050010014', 'pack17', 35000, 35000, 0)]","[('MT0010010787', 'pack15', 14160, 14160, 0)]","[('MT0010010082', 'pack05', 55000, 55000, 0), ('MT0010010082', 'pack11', 55000, 55000, 0)]","[('MT0010010395', 'pack06', 35000, 35000, 0), ('MT0010010395', 'pack13', 35000, 35000, 0)]","[('MT0010010573', 'pack17', 13000, 13000, 0)]","[('MT0010010082', 'pack09', 28000, 28000, 0), ('MT0010010082', 'pack08', 28000, 28000, 0)]","[('MT0010010082', 'pack19', 28000, 28000, 0), ('MT0010010082', 'pack18', 28000, 28000, 0)]",,"[('MT0020010004', 'pack16', 18000, 18000, 0), ('MT0020010004', 'pack12', 18000, 18000, 0)]",2025-10-17,早班,3,Friday,"['pack01', 'pack02', 'pack05', 'pack06', 'pack08', 'pack09', 'pack11', 'pack12', 'pack13', 'pack15', 'pack16', 'pack17', 'pack18', 'pack19']"
2025-10-17;中班;3,"[('MT0010010082', 'pack10', 34000, 34000, 0), ('MT0010010082', 'pack14', 34000, 34000, 0)]","[('MT0050010014', 'pack07', 35000, 35000, 0)]","[('MT0010010788', 'pack07', 14160, 14160, 0)]",,,"[('MT0010010573', 'pack07', 13000, 12513, 0)]",,,,,2025-10-17,中班,3,Friday,"['pack07', 'pack10', 'pack14']"
2025-10-20;早班;4,"[('MT0010010082', 'pack01', 34000, 34000, 0), ('MT0010010082', 'pack02', 34000, 34000, 0)]","[('MT0050010014', 'pack17', 35000, 35000, 0)]","[('MT0010010789', 'pack15', 14000, 14000, 0)]","[('MT0010010082', 'pack05', 55000, 55000, 0), ('MT0010010082', 'pack11', 55000, 55000, 0)]","[('MT0010010395', 'pack06', 35000, 35000, 0), ('MT0010010395', 'pack13', 35000, 35000, 0)]","[('MT0010010082', 'pack17', 35000, 35000, 0)]","[('MT0010010082', 'pack09', 28000, 28000, 0), ('MT0010010082', 'pack08', 28000, 28000, 0)]","[('MT0010010082', 'pack19', 28000, 28000, 0), ('MT0010010082', 'pack18', 28000, 28000, 0)]",,"[('MT0020010004', 'pack16', 18000, 18000, 0), ('MT0020010004', 'pack12', 18000, 18000, 0)]",2025-10-20,早班,4,Monday,"['pack01', 'pack02', 'pack05', 'pack06', 'pack08', 'pack09', 'pack11', 'pack12', 'pack13', 'pack15', 'pack16', 'pack17', 'pack18', 'pack19']"
2025-10-20;中班;4,"[('MT0010010082', 'pack10', 34000, 34000, 0), ('MT0010010082', 'pack14', 34000, 34000, 0)]","[('MT0050010014', 'pack07', 35000, 35000, 0)]","[('MT0010010787', 'pack07', 14160, 14160, 0)]",,,"[('MT0010010082', 'pack07', 35000, 35000, 0)]",,,,,2025-10-20,中班,4,Monday,"['pack07', 'pack10', 'pack14']"
2025-10-21;早班;4,"[('MT0010010082', 'pack01', 34000, 34000, 0), ('MT0010010082', 'pack02', 34000, 34000, 0)]","[('MT0050010014', 'pack17', 35000, 35000, 0)]","[('MT0010010788', 'pack15', 14160, 14160, 0)]","[('MT0010010082', 'pack05', 55000, 55000, 0), ('MT0010010082', 'pack11', 55000, 55000, 0)]","[('MT0010010395', 'pack06', 35000, 35000, 0), ('MT0010010395', 'pack13', 35000, 35000, 0)]","[('MT0010010082', 'pack17', 35000, 35000, 0)]","[('MT0010010082', 'pack09', 28000, 28000, 0), ('MT0010010082', 'pack08', 28000, 28000, 0)]","[('MT0010010082', 'pack19', 28000, 28000, 0), ('MT0010010082', 'pack18', 28000, 28000, 0)]",,"[('MT0020010004', 'pack16', 18000, 18000, 0), ('MT0020010004', 'pack12', 18000, 18000, 0)]",2025-10-21,早班,4,Tuesday,"['pack01', 'pack02', 'pack05', 'pack06', 'pack08', 'pack09', 'pack11', 'pack12', 'pack13', 'pack15', 'pack16', 'pack17', 'pack18', 'pack19']"
2025-10-21;中班;4,"[('MT0010010082', 'pack10', 34000, 34000, 0), ('MT0010010082', 'pack14', 34000, 34000, 0)]","[('MT0050010014', 'pack07', 35000, 35000, 0)]","[('MT0010010789', 'pack07', 14000, 14000, 0)]",,,"[('MT0010010082', 'pack07', 35000, 35000, 0)]",,,,,2025-10-21,中班,4,Tuesday,"['pack07', 'pack10', 'pack14']"
2025-10-22;早班;4,"[('MT0010010082', 'pack01', 34000, 34000, 0), ('MT0010010082', 'pack02', 34000, 34000, 0)]","[('MT0050010014', 'pack17', 35000, 35000, 0)]","[('MT0050010012', 'pack15', 12744, 12744, 0)]","[('MT0010010082', 'pack05', 55000, 55000, 0), ('MT0010010082', 'pack11', 55000, 55000, 0)]","[('MT0010010395', 'pack06', 35000, 35000, 0), ('MT0010010395', 'pack13', 35000, 35000, 0)]","[('MT0010010082', 'pack17', 35000, 35000, 0)]","[('MT0010010082', 'pack09', 28000, 28000, 0), ('MT0010010082', 'pack08', 28000, 28000, 0)]","[('MT0010010082', 'pack19', 28000, 28000, 0), ('MT0010010082', 'pack18', 28000, 28000, 0)]",,"[('MT0020010004', 'pack16', 18000, 18000, 0), ('MT0020010004', 'pack12', 18000, 18000, 0)]",2025-10-22,早班,4,Wednesday,"['pack01', 'pack02', 'pack05', 'pack06', 'pack08', 'pack09', 'pack11', 'pack12', 'pack13', 'pack15', 'pack16', 'pack17', 'pack18', 'pack19']"
2025-10-22;中班;4,"[('MT0010010082', 'pack10', 34000, 34000, 0), ('MT0010010082', 'pack14', 34000, 34000, 0)]","[('MT0050010014', 'pack07', 35000, 35000, 0)]","[('MT0010010747', 'pack07', 15200, 9893, 0)]",,,"[('MT0010010082', 'pack07', 35000, 35000, 0)]",,,,,2025-10-22,中班,4,Wednesday,"['pack07', 'pack10', 'pack14']"
2025-10-23;早班;4,"[('MT0010010082', 'pack01', 34000, 34000, 0), ('MT0010010082', 'pack02', 34000, 34000, 0)]","[('MT0050010014', 'pack17', 35000, 35000, 0)]",,"[('MT0010010082', 'pack05', 55000, 55000, 0), ('MT0010010082', 'pack11', 55000, 55000, 0)]","[('MT0010010395', 'pack06', 35000, 35000, 0), ('MT0010010395', 'pack13', 35000, 34992, 0)]","[('MT0010010082', 'pack17', 35000, 35000, 0)]","[('MT0010010082', 'pack09', 28000, 28000, 0), ('MT0010010082', 'pack08', 28000, 28000, 0)]","[('MT0010010082', 'pack19', 28000, 28000, 0), ('MT0010010082', 'pack18', 28000, 28000, 0)]",,"[('MT0020010004', 'pack16', 18000, 18000, 0), ('MT0020010004', 'pack12', 18000, 18000, 0)]",2025-10-23,早班,4,Thursday,"['pack01', 'pack02', 'pack05', 'pack06', 'pack08', 'pack09', 'pack11', 'pack12', 'pack13', 'pack16', 'pack17', 'pack18', 'pack19']"
2025-10-23;中班;4,"[('MT0010010082', 'pack10', 34000, 34000, 0), ('MT0010010082', 'pack14', 34000, 34000, 0)]","[('MT0050010014', 'pack15', 35000, 35000, 0)]",,,,"[('MT0010010082', 'pack15', 35000, 35000, 0)]",,,,,2025-10-23,中班,4,Thursday,"['pack10', 'pack14', 'pack15']"
